,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [7, 8, ['समर्पण']], Cor: [7, 8, ['समर्पित']], Type: 'R:MORPH'","Orig: [7, 8, 'समर्पण'], Cor: [7, 8, 'समर्पित'], Type: 'R:SPELL'","मैं तुम्हें श्रद्धा के साथ यह पुस्तक समर्पण करती हूँ।
","मैं तुम्हें श्रद्धा के साथ यह पुस्तक समर्पित करती हूँ।
",R:VERB,R:MORPH,g,a,YES,b,NO
1,"Orig: [7, 8, ['किए']], Cor: [7, 8, ['किया']], Type: 'R:VERB-NUM'","Orig: [7, 8, 'किए'], Cor: [7, 8, 'किया'], Type: 'R:VERB:INFL'","आपने क्या अभी तक काम पूरा नहीं किए हैं ?
","आपने क्या अभी तक काम पूरा नहीं किया है ?
",R:VERB-NUM,R:VERB-NUM,g,a,YES,a,YES
2,"Orig: [8, 9, ['हैं']], Cor: [8, 9, ['है']], Type: 'R:SPELL'","Orig: [8, 9, 'हैं'], Cor: [8, 9, 'है'], Type: 'R:VERB:INFL'","आपने क्या अभी तक काम पूरा नहीं किए हैं ?
","आपने क्या अभी तक काम पूरा नहीं किया है ?
",R:VERB-NUM,R:SPELL,g,a,NO,g,NO
3,"Orig: [5, 6, ['करने']], Cor: [5, 6, ['करना']], Type: 'R:VERB-FORM'","Orig: [5, 6, 'करने'], Cor: [5, 6, 'करना'], Type: 'R:VERB:INFL'","तुम लोगों को यह काम करने चाहिए ?
","तुम लोगों को यह काम करना चाहिए ?
",R:VERB-NUM,R:VERB-FORM,a,a,NO,a,NO
4,"Orig: [2, 3, ['रोए']], Cor: [2, 3, ['रोया']], Type: 'R:SPELL'","Orig: [2, 3, 'रोए'], Cor: [2, 3, 'रोया'], Type: 'R:VERB:INFL'","बच्चों से रोए नहीं जाते।
","बच्चों से रोया नहीं जाता।
",R:VERB-NUM,R:SPELL,g,a,NO,g,NO
5,"Orig: [4, 5, ['जाते']], Cor: [4, 5, ['जाता']], Type: 'R:VERB-NUM'","Orig: [4, 5, 'जाते'], Cor: [4, 5, 'जाता'], Type: 'R:VERB:INFL'","बच्चों से रोए नहीं जाते।
","बच्चों से रोया नहीं जाता।
",R:VERB-NUM,R:VERB-NUM,g,a,YES,a,YES
6,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, 'उसका'], Cor: [0, 1, 'उसके'], Type: 'R:PRON:INFL'","उसका प्राण निकल रहा है।
","उसके प्राण निकल रहे हैं।
",R:PRON,R:PRON,g,a,YES,g,NO
7,"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB-NUM'","Orig: [3, 4, 'रहा'], Cor: [3, 4, 'रहे'], Type: 'R:VERB:INFL'","उसका प्राण निकल रहा है।
","उसके प्राण निकल रहे हैं।
",R:VERB-NUM,R:VERB-NUM,g,a,YES,a,YES
8,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:SPELL'","Orig: [4, 5, 'है'], Cor: [4, 5, 'हैं'], Type: 'R:VERB:INFL'","उसका प्राण निकल रहा है।
","उसके प्राण निकल रहे हैं।
",R:VERB-NUM,R:SPELL,g,a,NO,g,NO
9,"Orig: [3, 4, ['कातना']], Cor: [3, 4, ['चलाना']], Type: 'R:VERB'","Orig: [3, 4, 'कातना'], Cor: [3, 4, 'चलाना'], Type: 'R:VERB'","हमें प्रतिदिन चरखा कातना चाहिए।
","हमें प्रतिदिन चरखा चलाना चाहिए।
",R:VERB,R:VERB,g,a,YES,g,NO
10,"Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","Orig: [2, 3, 'को'], Cor: [2, 3, 'से'], Type: 'R:ADP'","लड़के अध्यापक को प्रश्न पूछते हैं।
","लड़के अध्यापक से प्रश्न करते हैं।
",R:ADP,R:ADP,g,a,YES,g,NO
11,"Orig: [4, 5, ['पूछते']], Cor: [4, 5, ['करते']], Type: 'R:VERB'","Orig: [4, 5, 'पूछते'], Cor: [4, 5, 'करते'], Type: 'R:VERB'","लड़के अध्यापक को प्रश्न पूछते हैं।
","लड़के अध्यापक से प्रश्न करते हैं।
",R:VERB,R:VERB,g,a,YES,g,NO
12,"Orig: [2, 3, ['विद्वतापूर्ण']], Cor: [2, 3, ['विद्वतापूर्वक']], Type: 'R:ADJ'","Orig: [2, 3, 'विद्वतापूर्ण'], Cor: [2, 3, 'विद्वतापूर्वक'], Type: 'R:ADJ:INFL'","यह पुस्तक विद्वतापूर्ण लिखी गई है।
","यह पुस्तक विद्वतापूर्वक लिखी गई है।
",R:SPELL,R:ADJ,g,a,NO,g,NO
13,"Orig: [2, 3, ['देने']], Cor: [2, 3, ['पाने']], Type: 'R:VERB'","Orig: [2, 3, 'देने'], Cor: [2, 3, 'पाने'], Type: 'R:VERB'","वह दंड देने के योग्य है।
","वह दंड पाने के योग्य है।
",R:VERB,R:VERB,g,a,YES,g,NO
14,"Orig: [3, 4, ['पहन']], Cor: [3, 4, ['ओड़']], Type: 'R:VERB'","Orig: [3, 4, 'पहन'], Cor: [3, 4, 'ओड़'], Type: 'R:VERB'","आप यह कंबल पहन लें।
","आप यह कंबल ओड़ लें।
",R:VERB,R:VERB,g,a,YES,g,NO
15,"Orig: [2, 3, ['बोला']], Cor: [2, 3, ['कहा']], Type: 'R:VERB'","Orig: [2, 3, 'बोला'], Cor: [2, 3, 'कहा'], Type: 'R:VERB'","साहब ने बोला कि कल तुम्हारी छुट्टी है।
","साहब ने कहा कि कल तुम्हारी छुट्टी है।
",R:VERB,R:VERB,g,a,YES,g,NO
16,"Orig: [1, 2, ['निकाल']], Cor: [1, 2, ['उतार']], Type: 'R:VERB'","Orig: [1, 2, 'निकाल'], Cor: [1, 2, 'उतार'], Type: 'R:VERB'","जूता निकाल दो।
","जूता उतार दो। 
",R:VERB,R:VERB,g,a,YES,g,NO
17,"Orig: [5, 6, ['आँका']], Cor: [5, 6, ['मापा']], Type: 'R:VERB'","Orig: [5, 6, 'आँका'], Cor: [5, 6, 'मापा'], Type: 'R:OTHER'","किसी के स्नेह का मूल्य आँका नहीं जा सकता।
","किसी के स्नेह का मूल्य मापा नहीं जा सकता। 
",R:VERB,R:VERB,g,a,YES,g,NO
18,"Orig: [8, 9, ['दिलाता']], Cor: [8, 9, ['कराता']], Type: 'R:VERB'","Orig: [8, 9, 'दिलाता'], Cor: [8, 9, 'कराता'], Type: 'R:VERB'","15 अगस्त हमें हमारे शहीद सैनिकों का स्मरण दिलाता है।
","15 अगस्त हमें हमारे शहीद सैनिकों का स्मरण कराता है।
",R:VERB,R:VERB,g,a,YES,g,NO
19,"Orig: [2, 3, ['लेता']], Cor: [2, 3, ['करता']], Type: 'R:VERB'","Orig: [2, 3, 'लेता'], Cor: [2, 3, 'करता'], Type: 'R:VERB'","मैं संकल्प लेता हूँ कि इस वर्ष कड़ी मेहनत करूँगा।
","मैं संकल्प करता हूँ कि इस वर्ष कड़ी मेहनत करूँगा।
",R:VERB,R:VERB,g,a,YES,g,NO
20,"Orig: [3, 4, ['आओ।']], Cor: [4, 6, ['आइए', '।']], Type: 'R:OTHER'","Orig: [3, 4, 'आओ।'], Cor: [4, 5, 'आइए।'], Type: 'R:SPELL'","सुनिए अंदर चले आओ।
","सुनिए, अंदर चले आइए।
",R:VERB,R:OTHER,b,a,NO,b,NO
21,"Orig: [4, 5, ['लो।']], Cor: [4, 6, ['लीजिए', '।']], Type: 'R:OTHER'","Orig: [4, 5, 'लो।'], Cor: [4, 5, 'लीजिए।'], Type: 'R:OTHER'","पिता जी चाय पी लो।
","पिता जी चाय पी लीजिए।
",R:VERB,R:OTHER,b,b,NO,b,NO
22,"Orig: [3, 4, ['पीकर']], Cor: [3, 4, ['खा-पीकर']], Type: 'R:SPELL'","Orig: [3, 4, 'पीकर'], Cor: [3, 4, 'खा-पीकर'], Type: 'R:SPELL'","लड्डू और लस्सी पीकर हमने यात्रा की।
","लड्डू और लस्सी खा-पीकर हमने यात्रा की।
",R:VERB,R:SPELL,b,a,NO,b,NO
23,"Orig: [4, 5, ['बनी']], Cor: [4, 5, ['बना']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'बनी'], Cor: [4, 5, 'बना'], Type: 'R:VERB:INFL'","लालकिला लाल पत्थरों से बनी है।
","लालकिला लाल पत्थरों से बना है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
24,"Orig: [2, 3, ['का']], Cor: [2, 3, ['के']], Type: 'R:ADP-INFL'","Orig: [2, 3, 'का'], Cor: [2, 3, 'के'], Type: 'R:ADP:INFL'","इस प्रश्न का हल करने की आवश्यकता है।
","इस प्रश्न के हल की आवश्यकता है।
",R:ADP,R:ADP-INFL,g,a,NO,g,YES
25,"Orig: [4, 5, ['वितरित']], Cor: [4, 5, ['प्रदान']], Type: 'R:OTHER'","Orig: [4, 5, 'वितरित'], Cor: [4, 5, 'प्रदान'], Type: 'R:OTHER'","उन्हें डॉक्टर की उपाधि वितरित की।
","उन्हें डॉक्टर की उपाधि प्रदान की।
",R:VERB,R:OTHER,b,a,NO,b,NO
26,"Orig: [3, 4, ['माँगों']], Cor: [3, 4, ['माँगिए']], Type: 'R:VERB-NUM'","Orig: [3, 4, 'माँगों।'], Cor: [3, 4, 'माँगिए।'], Type: 'R:SPELL'","सवेरे-सवेरे उधार मत माँगों।
","सवेरे-सवेरे उधार मत माँगिए।
",R:SPELL,R:VERB-NUM,g,a,NO,g,NO
27,"Orig: [7, 8, ['आए']], Cor: [7, 8, ['आया']], Type: 'R:VERB-NUM'","Orig: [7, 8, 'आए।'], Cor: [7, 8, 'आया।'], Type: 'R:SPELL'","हिरणों का झुंड तालाब पर पानी पीने आए।
","हिरणों का झुंड तालाब पर पानी पीने आया।
",R:VERB-NUM,R:VERB-NUM,g,a,YES,g,NO
28,"Orig: [2, 4, ['कहकर', 'पुकारना']], Cor: [2, 3, ['कहना']], Type: 'R:VERB-TENSE'","Orig: [2, 4, 'कहकर पुकारना'], Cor: [2, 3, 'कहना'], Type: 'R:MULTI'","उसको दुर्जन कहकर पुकारना अनुचित है।
","उसको दुर्जन कहना अनुचित है।
",R:VERB,R:VERB-TENSE,a,a,NO,b,YES
29,"Orig: [4, 5, ['जा']], Cor: [4, 5, ['हो']], Type: 'R:VERB'","Orig: [4, 5, 'जा'], Cor: [4, 5, 'हो'], Type: 'R:VERB'","कई बार वह शिमला जा आया है।
","कई बार वह शिमला हो आया है।
",R:VERB,R:VERB,g,a,YES,g,NO
30,"Orig: [5, 6, ['माँगता']], Cor: [5, 6, ['चाहता']], Type: 'R:VERB'","Orig: [5, 6, 'माँगता'], Cor: [5, 6, 'चाहता'], Type: 'R:SPELL'","अब वह फिर से पढ़ना माँगता है।
","अब वह फिर से पढ़ना चाहता है।
",R:VERB,R:VERB,b,a,NO,b,NO
31,"Orig: [6, 7, ['पड़ा']], Cor: [6, 7, ['गया']], Type: 'R:OTHER'","Orig: [6, 7, 'पड़ा'], Cor: [6, 7, 'गया'], Type: 'R:VERB'","देखते ही देखते जून भी आ पड़ा।
","देखते ही देखते जून भी आ गया।
",R:VERB,R:OTHER,a,a,NO,a,NO
32,"Orig: [6, 7, ['देने']], Cor: [6, 7, ['लेने']], Type: 'R:VERB'","Orig: [6, 7, 'देने'], Cor: [6, 7, 'लेने'], Type: 'R:VERB'","सुखिया का पिता मंदिर में प्रसाद देने आया था।
","सुखिया का पिता मंदिर में प्रसाद लेने आया था।
",R:VERB,R:VERB,g,a,YES,g,NO
33,"Orig: [7, 8, ['गई']], Cor: [7, 8, ['गए']], Type: 'R:VERB-GEN'","Orig: [7, 8, 'गई।'], Cor: [7, 8, 'गए।'], Type: 'R:SPELL'","राम, लक्ष्मण और सीता जंगल को गई।","राम, लक्ष्मण और सीता जंगल को गए।",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
