Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)","Edit Quality 2 (g,b,a)"
"Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",R:PRON-NUM,g,a,b
"Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",R:VERB-NUM,a,a,b
"Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB-TENSE'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",R:VERB-TENSE,g,a,g 
"Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",R:WO,g,a,g
"Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:SPELL'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",R:SPELL,g,a,g
"Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:ADP'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",R:ADP,g,a,g
"Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:ADP'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",R:ADP,g,a,g
"Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",M:ADJ,g,a,g
"Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",M:PUNCT,g,a,g
"Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",M:PUNCT,g,a,g
"Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",M:VERB-TENSE,g,a,g
"Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB:TENSE'","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया है।
","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया गया है।
",M:VERB-TENSE,g,a,g
"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",R:ADP,g,a,g
"Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB:TENSE'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",M:VERB-TENSE,g,a,g
"Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:SPELL'","अध्यापक ने हमसे लेख लिखाया।
","अध्यापक ने हमसे लेख लिखवाया।
",R:VERB-TENSE,a,a,g
"Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB:TENSE'","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया है।
",सूत्रपुत्र नाटक को चार अंकों में विभक्त किया गया।,R:VERB-TENSE,g,a,g
"Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:NOUN'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",R:SPELL,b,a,b
"Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",R:SPELL,g,a,g
"Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB:TENSE'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",M:VERB-TENSE,g,a,g
"Orig: [7, 8, ['अवश्य']], Cor: [7, 7, []], Type: 'U:ADV'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",U:ADV,g,a,g
"Orig: [10, 11, ['सकेगा']], Cor: [9, 10, ['पाएगा']], Type: 'R:VERB:TENSE'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",R:VERB,b,a,b
"Orig: [2, 2, [सकुशलतापूर्वक]], Cor: [2, 2, ['सकुशल']], Type: 'R:ADV'","सब यहाँ सकुशलतापूर्वक हैं।
","सब यहाँ सकुशल हैं।
",R:ADV,g,a,g
"Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",U:ADV,b,a,b
"Orig: [2, 3, ['नाम्मात्र']], Cor: [1, 2, ['नाममात्र']], Type: 'R:SPELL'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",R:SPELL,g,a,g
"Orig: [3, 4, ['शायद']], Cor: [3, 3, []], Type: 'U:ADV'","मेरे विचार से शायद काम हो जाएगा।
","मेरे विचार से काम हो जाएगा।
",U:ADV,g,a,g
"Orig: [0, 1, ['निम्न']], Cor: [0, 1, ['निम्नांकित']], Type: 'R:ADJ'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",R:ADJ,g,a,g
"Orig: [5, 6, ['।']], Cor: [5, 6, [':']], Type: 'R:PUNCT'","निम्न कविता की व्याख्या कीजिए।
","निम्नांकित कविता की व्याख्या कीजिए :
",R:PUNCT,g,a,g
"Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:DET'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",R:DET,g,a,g
"Orig: [1, 2, ['सतन्तरे']], Cor: [1, 2, ['सन्तरे']], Type: 'R:SPELL'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",R:SPELL,g,a,g
"Orig: [0, 1, ['अनेको']], Cor: [0, 1, ['अनेक']], Type: 'R:DET'","अनेको लोगों ने उसकी प्रशंसा की।
","अनेक लोगों ने उसकी प्रशंसा की।
",R:DET,g,a,g
"Orig: [0, 1, ['प्रथवी']], Cor: [0, 1, ['पृथ्वी']], Type: 'R:SPELL'","प्रथवी गोल है।
","पृथ्वी गोल है।
",R:SPELL,g,a,g
"Orig: [1, 2, ['ने']], Cor: [1, 3, ['के', 'द्वारा']], Type: 'R:ADP'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",R:ADP,g,a,g
"Orig: [10, 11, ['है']], Cor: [11, 11, []], Type: 'U:VERB:TENSE'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",U:VERB-TENSE,g,a,g
"Orig: [7, 8, ['सबसे']], Cor: [7, 7, []], Type: 'U:ADV'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",U:ADV,g,a,g
"Orig: [8, 9, ['सुन्दर']], Cor: [7, 8, ['सुन्दरतम']], Type: 'R:ADJ'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",R:ADJ,g,a,g
"Orig: [9, 9, []], Cor: [8, 9, ['कृति']], Type: 'M:NOUN'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",M:NOUN,g,a,g
"Orig: [2, 4, ['हर', 'एक']], Cor: [2, 3, ['प्रत्येक']], Type: 'R:DET'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",R:DET,g,a,g
"Orig: [4, 5, ['सदस्यों']], Cor: [3, 4, ['सदस्य']], Type: 'R:NOUN-NUM'","मतदान में हर एक सदस्यों को दुविधा थी।
","मतदान में प्रत्येक सदस्य को दुविधा थी।
",R:NOUN-NUM,g,a,g
"Orig: [4, 5, ['सोने']], Cor: [4, 5, ['सोना']], Type: 'R:NOUN-NUM'",उसके पास पचास ग्राम सोने है।,"उसके पास पचास ग्राम सोना है।
",R:NOUN-NUM,g,a,g
"Orig: [0, 1, ['अपना']], Cor: [0, 1, ['अपने']], Type: 'R:PRON-NUM'","अपना हस्ताक्षर कर दो।
","अपने हस्ताक्षर कर दो।
",R:PRON-NUM,g,a,g
"Orig: [6, 7, ['सीढ़ी']], Cor: [6, 7, ['सीढ़ियाँ']], Type: 'R:NOUN'","मन्दिर में जाने के लिए पचास सीढ़ी हैं।
","मन्दिर में जाने के लिए पचास सीढ़ियाँ हैं।
",R:NOUN-NUM,a,a,b
"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",R:PRON-NUM,a,a,b
"Orig: [0, 1, ['संस्कृतियों']], Cor: [0, 1, ['संस्कृति']], Type: 'R:NOUN-NUM'","संस्कृतियों पर देशवासी मर मिटे।
","संस्कृति पर देशवासी पर मिटे।
",R:NOUN-NUM,g,a,g
"Orig: [0, 1, ['बुढ़ापे']], Cor: [0, 1, ['बुढ़ापा']], Type: 'R:NOUN-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",R:NOUN-NUM,g,a,g
"Orig: [1, 2, ['बुरे']], Cor: [1, 2, ['बुरा']], Type: 'R:ADJ-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",R:ADJ-NUM,g,a,g
"Orig: [2, 3, ['होते']], Cor: [2, 3, ['होता']], Type: 'R:VERB-NUM'","बुढ़ापे बुरे होते है।
","बुढ़ापा बुरा होता है।
",R:VERB-NUM,g,a,g
"Orig: [0, 1, ['बेरोजगारियाँ']], Cor: [0, 1, ['बेरोजगारी']], Type: 'R:SPELL'","बेरोजगारियाँ दूर होनी चाहिए।
","बेरोजगारी दूर होनी चाहिए।
",R:NOUN-NUM,b,a,b
"Orig: [0, 1, ['अपने']], Cor: [0, 1, ['अपनी']], Type: 'R:PRON-GEN'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",R:PRON-GEN,g,a,g
"Orig: [1, 2, ['सोचों']], Cor: [1, 2, ['सोच']], Type: 'R:NOUN-GEN'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",R:NOUN-GEN,g,a,b
"Orig: [3, 4, ['गाड़ी']], Cor: [3, 4, ['गाड़ियाँ']], Type: 'R:NOUN-NUM'","यहाँ से अनेक गाड़ी गुजरती हैं।
","यहाँ से अनेक गाड़ियाँ गुजरती हैं।
",R:NOUN-NUM,g,a,g
"Orig: [3, 4, ['चिड़िया']], Cor: [3, 4, ['चिड़ियाँ']], Type: 'R:NOUN'","आकाश में अनेक चिड़िया उड़ रही हैं।
","आकाश में अनेक चिड़ियाँ उड़ रही हैं।
",R:NOUN-NUM,a,a,g
"Orig: [0, 1, ['इस']], Cor: [0, 1, ['इन']], Type: 'R:DET'",इस प्रश्नों के उत्तर पचास शब्द में दो।,इन प्रश्नों का उत्तर पचास शब्दों में दो।,R:DET,g,a,g
"Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP'",इस प्रश्नों के उत्तर पचास शब्द में दो।,इन प्रश्नों का उत्तर पचास शब्दों में दो।,R:ADP,g,a,g
"Orig: [5, 6, ['शब्द']], Cor: [5, 6, ['शब्दों']], Type: 'R:NOUN-NUM'",इस प्रश्नों के उत्तर पचास शब्द में दो।,इन प्रश्नों का उत्तर पचास शब्दों में दो।,R:NOUN-NUM,g,a,g
"Orig: [1, 2, ['यह']], Cor: [1, 2, ['ये']], Type: 'R:DET'",क्या यह सारी पुस्तक मुझे पढ़नी हैं?,"क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",R:DET,g,a,g
"Orig: [3, 4, ['पुस्तक']], Cor: [3, 4, ['पुस्तकें']], Type: 'R:NOUN-NUM'",क्या यह सारी पुस्तक मुझे पढ़नी हैं?,"क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",R:NOUN-NUM,g,a,g
"Orig: [0, 1, ['हमारा']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारा वस्तुओं का ध्यान रखा जाए।
","हमारी वस्तुओं का ध्यान रखा जाए।
",R:PRON-GEN,g,a,g
"Orig: [0, 1, ['सारा']], Cor: [0, 1, ['सारी']], Type: 'R:DET'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",R:DET,g,a,g
"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",R:VERB-GEN,g,a,g
"Orig: [1, 2, ['खारी']], Cor: [1, 2, ['खारा']], Type: 'R:ADJ'","तुम खारी पानी लाते हो।
","तुम खारा पानी लाते हो।
",R:ADJ-GEN,a,a,b
"Orig: [2, 3, ['खट्टी']], Cor: [2, 3, ['खट्टा']], Type: 'R:ADJ'","दही बहुत खट्टी है।
","दही बहुत खट्टा है।
",R:ADJ-GEN,a,a,b
"Orig: [3, 4, ['रहस्यमयी']], Cor: [3, 4, ['रहस्यमय']], Type: 'R:ADJ'","उसका अंत बड़ा रहस्यमयी हुआ।
","उसका अंत बड़ा रहस्यमय हुआ।
",R:ADJ-GEN,a,a,b
"Orig: [0, 0, []], Cor: [0, 1, ['ये']], Type: 'M:DET'","कापियाँ किसकी हैं?
","ये कापियाँ किसकी हैं?
",M:DET,g,a,g
"Orig: [2, 3, ['भाभी']], Cor: [2, 3, ['‘भाभी’']], Type: 'R:OTHER'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",R:PUNCT,b,a,b
"Orig: [5, 5, []], Cor: [5, 6, ['गयी']], Type: 'M:VERB:TENSE'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
",M:VERB-TENSE,g,a,g
"Orig: [4, 5, ['मात्र']], Cor: [4, 4, []], Type: 'U:OTHER'","मुझे केवल सौ रुपये मात्र मिले।
","मुझे केवल सौ रुपये मिले।
",U:ADV,b,a,b
"Orig: [0, 1, ['हमारी']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON-GEN'","हमारी समाज प्रगतिशील बने।
","हमारा समाज प्रगतिशील बने।
",R:PRON-GEN,g,a,g
"Orig: [4, 5, ['रहस्यमयी']], Cor: [4, 5, ['रहस्यमय']], Type: 'R:ADJ'","लोग आज भी उन रहस्यमयी खजानों को खोज रहे हैं।
","लोग आज भी उन रहस्यमय खजानों को खोज रहे हैं।
",R:ADJ-GEN,a,a,b
"Orig: [2, 2, []], Cor: [2, 3, ['!']], Type: 'M:PUNCT'","हे प्रभु अब यह कष्ट दूर करो।
","हे प्रभु! अब यह कष्ट दूर करो।
",R:PUNCT,g,a,g
"Orig: [2, 3, ['नया']], Cor: [2, 3, ['नई']], Type: 'R:ADJ-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",R:ADJ-GEN,g,a,g
"Orig: [4, 5, ['पहना']], Cor: [4, 5, ['पहनी']], Type: 'R:VERB-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
",R:VERB-GEN,g,a,g
"Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:DET'","भारत में अनेकों राज्य हैं।
","भारत में अनेक राज्य हैं।
",R:DET,g,a,g
"Orig: [3, 4, ['हितकर']], Cor: [3, 3, []], Type: 'U:ADJ'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",U:ADV,b,a,b
"Orig: [8, 9, ['करें']], Cor: [7, 10, ['कर', 'रहे', 'हैं']], Type: 'R:OTHER'","प्रधानमंत्री जनता के हितकर कल्याण के लिए कार्य कर।
","प्रधानमंत्री जनता के कल्याण के लिए कार्य कर रहे हैं।
",R:VERB-TENSE,b,a,b
"Orig: [1, 4, ['अपनी', 'ताकत', 'के']], Cor: [1, 2, ['अपने']], Type: 'R:PRON-GEN'","राजा अपनी ताकत के बल पर जीत गया।
","राजा अपने बल पर जीत गया।
",R:PRON-GEN,g,a,g
"Orig: [1, 2, ['सबसे']], Cor: [1, 1, []], Type: 'U:ADV'","यह सबसे सुन्दरतम साड़ी है।
","यह सुन्दरतम साड़ी है।
",U:ADV,g,a,g